year,char,flat
1960,[1],[1]
1962,"[2, 1, 1]","[0, 0, 1, 1]"
1963,"[1, 1]","[1, 1]"
1970,[1],[1]
1971,[1],[1]
1972,[1],[1]
1973,"[1, 1]","[1, 1]"
1974,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]"
1975,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1976,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1977,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1978,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1979,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]"
1980,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]"
1981,"[1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1]"
1982,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
1983,"[1, 1, 1, 1, 1, 1, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 0, 0]"
1984,"[1, 1, 1, 1, 2, 1]","[1, 1, 1, 1, 0, 0, 1]"
1985,"[2, 1, 1, 1, 1, 1, 2, 2, 1]","[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]"
1986,"[1, 1, 1, 1, 1, 2]","[1, 1, 1, 1, 1, 0, 0]"
1987,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]"
1988,"[1, 1, 1, 1]","[1, 1, 1, 1]"
1989,"[3, 1, 1, 2]","[0, 0, 0, 1, 1, 0, 0]"
1990,[4],"[0, 0, 0, 0]"
1991,[1],[1]
1992,"[1, 1]","[1, 1]"
1993,"[1, 1]","[1, 1]"
1994,"[1, 1, 1]","[1, 1, 1]"
1995,"[1, 1, 1]","[1, 1, 1]"
1996,"[2, 1]","[0, 0, 1]"
1997,[1],[1]
1998,[1],[1]
2000,"[1, 1]","[1, 1]"
2001,"[2, 1]","[0, 0, 1]"
2002,"[1, 1]","[1, 1]"
2003,"[1, 1]","[1, 1]"
2004,"[1, 1]","[1, 1]"
2005,"[1, 1]","[1, 1]"
2006,[1],[1]
2008,[10],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2009,[1],[1]
2010,"[1, 1]","[1, 1]"
2013,[1],[1]
2015,"[1, 1, 1]","[1, 1, 1]"
2016,[1],[1]
